Date,Price
01-01-1974,6.95
01-02-1974,6.87
01-03-1974,6.77
01-04-1974,6.77
01-05-1974,6.87
01-06-1974,6.85
01-07-1974,6.8
01-08-1974,6.71
01-09-1974,6.7
01-10-1974,6.97
01-11-1974,6.97
01-12-1974,7.09
01-01-1975,7.61
01-02-1975,7.47
01-03-1975,7.57
01-04-1975,7.55
01-05-1975,7.52
01-06-1975,7.49
01-07-1975,7.75
01-08-1975,7.73
01-09-1975,7.75
01-10-1975,7.83
01-11-1975,7.8
01-12-1975,7.93
01-01-1976,8.63
01-02-1976,7.91
01-03-1976,7.78
01-04-1976,7.86
01-05-1976,7.89
01-06-1976,8
01-07-1976,8.04
01-08-1976,8.03
01-09-1976,8.39
01-10-1976,8.46
01-11-1976,8.61
01-12-1976,8.62
01-01-1977,8.5
01-02-1977,8.56
01-03-1977,8.45
01-04-1977,8.41
01-05-1977,8.49
01-06-1977,8.44
01-07-1977,8.47
01-08-1977,8.45
01-09-1977,8.43
01-10-1977,8.72
01-11-1977,8.69
01-12-1977,8.81
01-01-1978,8.71
01-02-1978,8.86
01-03-1978,8.8
01-04-1978,8.82
01-05-1978,8.81
01-06-1978,9.05
01-07-1978,8.96
01-08-1978,9.05
01-09-1978,9.15
01-10-1978,9.17
01-11-1978,9.2
01-12-1978,9.47
01-01-1979,9.46
01-02-1979,9.69
01-03-1979,9.83
01-04-1979,10.33
01-05-1979,10.71
01-06-1979,11.7
01-07-1979,13.39
01-08-1979,14
01-09-1979,14.57
01-10-1979,15.06
01-11-1979,15.52
01-12-1979,17
01-01-1980,17.86
01-02-1980,18.86
01-03-1980,19.33
01-04-1980,20.28
01-05-1980,21.05
01-06-1980,21.52
01-07-1980,22.31
01-08-1980,22.62
01-09-1980,22.59
01-10-1980,23.23
01-11-1980,23.99
01-12-1980,25.83
01-01-1981,28.81
01-02-1981,34.3
01-03-1981,34.59
01-04-1981,33.92
01-05-1981,32.73
01-06-1981,31.68
01-07-1981,31.1
01-08-1981,31.1
01-09-1981,31.1
01-10-1981,30.98
01-11-1981,30.97
01-12-1981,30.8
01-01-1982,30.8
01-02-1982,29.73
01-03-1982,28.31
01-04-1982,27.64
01-05-1982,27.66
01-06-1982,28.12
01-07-1982,28.09
01-08-1982,27.99
01-09-1982,27.99
01-10-1982,28.76
01-11-1982,28.74
01-12-1982,28.02
01-01-1983,27.22
01-02-1983,26.41
01-03-1983,26.08
01-04-1983,25.85
01-05-1983,26.08
01-06-1983,25.98
01-07-1983,25.86
01-08-1983,26.03
01-09-1983,26.08
01-10-1983,26.04
01-11-1983,26.09
01-12-1983,25.88
01-01-1984,25.93
01-02-1984,26.06
01-03-1984,26.05
01-04-1984,25.93
01-05-1984,26
01-06-1984,26.09
01-07-1984,26.11
01-08-1984,26.02
01-09-1984,25.97
01-10-1984,25.92
01-11-1984,25.44
01-12-1984,25.05
01-01-1985,24.26
01-02-1985,23.64
01-03-1985,23.89
01-04-1985,24.19
01-05-1985,24.18
01-06-1985,24.07
01-07-1985,24.04
01-08-1985,23.99
01-09-1985,23.96
