Date,Price
01-01-1997,6.23
01-02-1997,3.39
01-03-1997,3.5
01-04-1997,4.1
01-05-1997,4.24
01-06-1997,4.12
01-07-1997,4.23
01-08-1997,5.09
01-09-1997,5.59
01-10-1997,6.06
01-11-1997,4.71
01-12-1997,4.28
01-01-1998,3.93
01-02-1998,4.19
01-03-1998,4.39
01-04-1998,4.08
01-05-1998,3.92
01-06-1998,4.46
01-07-1998,3.45
01-08-1998,3
01-09-1998,4.13
01-10-1998,3.71
01-11-1998,3.02
01-12-1998,3.62
01-01-1999,3.39
01-02-1999,3.01
01-03-1999,3.72
01-04-1999,4.12
01-05-1999,4.19
01-06-1999,4.28
01-07-1999,4.65
01-08-1999,5.17
01-09-1999,4.18
01-10-1999,4.99
01-11-1999,4.01
01-12-1999,4.16
01-01-2000,4.85
01-02-2000,4.75
01-03-2000,5.11
01-04-2000,5.48
01-05-2000,8.01
01-06-2000,7.69
01-07-2000,6.6
01-08-2000,8.38
01-09-2000,8.93
01-10-2000,7.64
01-11-2000,11.02
01-12-2000,18.32
01-01-2001,10.13
01-02-2001,9.08
01-03-2001,9.23
01-04-2001,8.13
01-05-2001,6.38
01-06-2001,4.97
01-07-2001,5.67
01-08-2001,3.68
01-09-2001,3.07
01-10-2001,5.25
01-11-2001,3.14
01-12-2001,4.13
01-01-2002,3.91
01-02-2002,4.26
01-03-2002,5.41
01-04-2002,6.17
01-05-2002,5.33
01-06-2002,5.41
01-07-2002,5.1
01-08-2002,5.25
01-09-2002,6.87
01-10-2002,7.36
01-11-2002,7.03
01-12-2002,7.72
01-01-2003,9.34
01-02-2003,17.96
01-03-2003,8.27
01-04-2003,8.69
01-05-2003,9.93
01-06-2003,8.79
01-07-2003,7.66
01-08-2003,8
01-09-2003,7.65
01-10-2003,6.54
01-11-2003,8.01
01-12-2003,9.5
01-01-2004,9.52
01-02-2004,8.61
01-03-2004,9.14
01-04-2004,9.4
01-05-2004,10.37
01-06-2004,9.67
01-07-2004,9.68
01-08-2004,8.09
01-09-2004,10.19
01-10-2004,10.24
01-11-2004,10.81
01-12-2004,9.62
01-01-2005,9.79
01-02-2005,10.5
01-03-2005,11.73
01-04-2005,10.38
01-05-2005,9.87
01-06-2005,10.96
01-07-2005,12.07
01-08-2005,19.66
01-09-2005,22.71
01-10-2005,18.6
01-11-2005,18.05
01-12-2005,14.71
01-01-2006,13.39
01-02-2006,10.24
01-03-2006,10.62
01-04-2006,10.02
01-05-2006,8.97
01-06-2006,8.75
01-07-2006,12.01
01-08-2006,8.65
01-09-2006,5.49
01-10-2006,10.01
01-11-2006,12.55
01-12-2006,8.29
01-01-2007,11.66
01-02-2007,10.8
01-03-2007,11.11
01-04-2007,11.34
01-05-2007,11.41
01-06-2007,9.34
01-07-2007,9.53
01-08-2007,8.03
01-09-2007,8.97
01-10-2007,10.6
01-11-2007,10.55
01-12-2007,10.3
01-01-2008,11.67
01-02-2008,13.08
01-03-2008,14.04
01-04-2008,15.31
01-05-2008,16.05
01-06-2008,18.33
01-07-2008,12.81
01-08-2008,11.44
01-09-2008,9.97
01-10-2008,8.68
01-11-2008,9.21
01-12-2008,8.15
01-01-2009,6.87
01-02-2009,5.79
01-03-2009,5.12
01-04-2009,4.63
01-05-2009,5.57
01-06-2009,5.25
01-07-2009,4.72
01-08-2009,3.41
01-09-2009,4.58
01-10-2009,5.78
01-11-2009,6.2
01-12-2009,8.19
01-01-2010,7.39
01-02-2010,6.68
01-03-2010,5.49
01-04-2010,5.5
01-05-2010,6.01
01-06-2010,6.32
01-07-2010,6.71
01-08-2010,5.29
01-09-2010,5.36
01-10-2010,4.67
01-11-2010,5.78
01-12-2010,5.86
01-01-2011,6.1
01-02-2011,5.4
01-03-2011,5.88
01-04-2011,6.1
01-05-2011,6.23
01-06-2011,5.77
01-07-2011,5.73
01-08-2011,5.33
01-09-2011,4.93
01-10-2011,4.92
01-11-2011,4.74
01-12-2011,4.02
01-01-2012,3.37
01-02-2012,3.26
01-03-2012,2.65
01-04-2012,2.78
01-05-2012,3.1
01-06-2012,3.63
01-07-2012,4.25
01-08-2012,3.59
01-09-2012,4.05
01-10-2012,4.6
01-11-2012,4.57
01-12-2012,4.54
01-01-2013,4.4
01-02-2013,4.56
01-03-2013,5.27
01-04-2013,5.62
01-05-2013,5.25
01-06-2013,4.65
01-07-2013,4.5
01-08-2013,4.64
01-09-2013,4.52
01-10-2013,4.65
01-11-2013,5.05
01-12-2013,5.62
01-01-2014,6.55
01-02-2014,6.22
01-03-2014,5.77
01-04-2014,6.15
01-05-2014,5.74
01-06-2014,5.6
01-07-2014,4.83
01-08-2014,5.17
01-09-2014,5.29
01-10-2014,4.89
01-11-2014,5.54
01-12-2014,4.07
01-01-2015,3.75
01-02-2015,3.62
01-03-2015,3.41
01-04-2015,3.29
01-05-2015,3.56
01-06-2015,3.57
01-07-2015,3.52
01-08-2015,3.45
01-09-2015,3.16
01-10-2015,2.53
01-11-2015,2.7
01-12-2015,2.93
01-01-2016,2.93
01-02-2016,2.08
01-03-2016,2.53
01-04-2016,2.4
01-05-2016,2.68
01-06-2016,3.71
01-07-2016,3.75
01-08-2016,3.73
01-09-2016,3.58
01-10-2016,3.59
01-11-2016,4.18
01-12-2016,4.67
01-01-2017,3.76
01-02-2017,3.17
01-03-2017,3.9
01-04-2017,3.98
01-05-2017,3.79
01-06-2017,3.7
01-07-2017,3.56
01-08-2017,3.62
01-09-2017,3.62
01-10-2017,3.5
01-11-2017,3.77
01-12-2017,4.55
01-01-2018,4.1
01-02-2018,3.25
01-03-2018,3.43
01-04-2018,3.34
01-05-2018,3.55
01-06-2018,3.57
01-07-2018,3.4
01-08-2018,3.59
01-09-2018,3.63
01-10-2018,3.98
01-11-2018,5.56
01-12-2018,3.94
01-01-2019,3.41
01-02-2019,3.48
01-03-2019,3.27
01-04-2019,3.08
01-05-2019,3.08
01-06-2019,2.87
01-07-2019,2.7
01-08-2019,2.76
01-09-2019,2.81
01-10-2019,3.23
01-11-2019,2.91
01-12-2019,2.47
01-01-2020,2.25
01-02-2020,2.11
01-03-2020,2.01
01-04-2020,1.93
01-05-2020,2.02
01-06-2020,2.08
01-07-2020,2.15
01-08-2020,2.69
01-09-2020,1.94
01-10-2020,3.54
01-11-2020,3.38
01-12-2020,2.76
01-01-2021,3.12
01-02-2021,3.07
01-03-2021,2.89
01-04-2021,3.26
01-05-2021,3.29
